,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2023-03-10,82.64,84.52,82.33,82.96,82.96,18123069,0.0000,1.0
2023-03-09,85.12,85.69,82.875,83.37,83.37,24327736,0.0000,1.0
2023-03-08,87.39,87.77,86.45,86.95,86.95,14721537,0.0000,1.0
2023-03-07,89.52,90.05,88.2,88.73,88.73,14514657,0.0000,1.0
2023-03-06,89.585,91.3001,88.03,89.62,89.62,16983867,0.0000,1.0
2023-03-03,90.11,90.46,88.4,89.7,89.7,25834349,0.0000,1.0
2023-03-02,88.96,90.919,87.97,89.75,89.75,25691768,0.0000,1.0
2023-03-01,92.92,92.92,89.73,89.95,89.95,35434898,0.0000,1.0
2023-02-28,88.46,89.34,87.27,87.79,87.79,24597162,0.0000,1.0
2023-02-27,90.85,91.24,88.895,89.25,89.25,25839998,0.0000,1.0
2023-02-24,90.07,91.68,88.03,89.0,89.0,36174519,0.0000,1.0
2023-02-23,100.1,100.47,92.13,94.16,94.16,40482949,0.0000,1.0
2023-02-22,95.575,95.89,93.5546,94.78,94.78,24484024,0.0000,1.0
2023-02-21,96.5,97.625,94.7,95.1,95.1,27172733,0.0000,1.0
2023-02-17,101.0,101.09,99.25,100.01,100.01,18121644,0.0000,1.0
2023-02-16,102.71,104.52,102.03,103.11,103.11,21747094,0.0000,1.0
2023-02-15,102.39,103.44,102.0,103.08,103.08,18910236,0.0000,1.0
2023-02-14,103.55,104.48,101.85,104.22,104.22,12978395,0.0000,1.0
2023-02-13,105.99,106.35,104.15,104.79,104.79,17577825,0.0000,1.0
2023-02-10,105.8,106.64,102.79,103.65,103.65,18776035,0.0000,1.0
2023-02-09,108.5,109.81,107.75,108.46,108.46,16281295,0.0000,1.0
2023-02-08,107.1,107.14,103.55,105.11,105.11,14329488,0.0000,1.0
2023-02-07,106.84,107.35,103.72,105.5,105.5,16861658,0.0000,1.0
2023-02-06,103.82,106.28,103.22,105.45,105.45,15337475,0.0000,1.0
2023-02-03,108.05,109.5299,105.81,106.33,106.33,15982156,0.0000,1.0
2023-02-02,112.5,112.525,107.81,109.74,109.74,23396932,0.0000,1.0
2023-02-01,111.86,113.95,110.15,112.82,112.82,16622999,0.0000,1.0
2023-01-31,109.42,112.08,108.81,110.2,110.2,15329975,0.0000,1.0
2023-01-30,111.69,113.15,109.78,111.2,111.2,21918217,0.0000,1.0
2023-01-27,119.69,119.71,116.81,118.38,118.38,18027374,0.0000,1.0
2023-01-26,121.0,121.3,118.762,120.57,120.57,11170977,0.0000,1.0
2023-01-25,118.51,120.32,117.5,120.25,120.25,9704954,0.0000,1.0
2023-01-24,115.0,120.0,115.0,119.44,119.44,7807114,0.0000,1.0
2023-01-23,120.0,120.3,118.1372,119.53,119.53,13590219,0.0000,1.0
2023-01-20,118.302,120.06,117.8,119.86,119.86,18342688,0.0000,1.0
2023-01-19,114.02,117.0,113.97,116.58,116.58,18489927,0.0000,1.0
2023-01-18,116.75,116.75,113.04,113.22,113.22,15347918,0.0000,1.0
2023-01-17,115.52,117.01,114.34,115.19,115.19,16945555,0.0000,1.0
2023-01-13,114.52,117.98,114.09,117.01,117.01,25615105,0.0000,1.0
2023-01-12,113.66,113.79,111.45,113.15,113.15,16590604,0.0000,1.0
2023-01-11,114.6,115.2099,112.31,115.02,115.02,22804411,0.0000,1.0
2023-01-10,112.97,115.48,111.21,114.88,114.88,33478575,0.0000,1.0
2023-01-09,111.99,113.11,108.12,110.83,110.83,42085274,0.0000,1.0
2023-01-06,104.11,108.0,102.46,107.4,107.4,21072355,0.0000,1.0
2023-01-05,101.4,105.7,100.6401,104.58,104.58,30400384,0.0000,1.0
2023-01-04,98.85,104.52,96.97,103.92,103.92,53291751,0.0000,1.0
2023-01-03,91.11,94.45,90.75,91.98,91.98,27891043,0.0000,1.0
2022-12-30,87.45,89.41,87.4101,88.09,88.09,11926714,0.0000,1.0
2022-12-29,87.625,89.52,87.06,89.13,89.13,12535405,0.0000,1.0
2022-12-28,88.98,90.15,86.4647,87.2,87.2,16268785,0.0000,1.0
2022-12-27,86.55,90.6893,86.21,89.86,89.86,22959936,0.0000,1.0
2022-12-23,87.85,88.65,85.5201,85.65,85.65,17949298,0.0000,1.0
2022-12-22,89.08,89.69,86.67,87.97,87.97,16004787,0.0000,1.0
2022-12-21,86.01,88.3869,85.46,87.81,87.81,18212852,0.0000,1.0
2022-12-20,85.04,87.2,85.04,85.92,85.92,15315427,0.0000,1.0
