,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2023-03-10,251.08,252.79,247.6,248.59,248.59,28333930,0.0000,1.0
2023-03-09,255.82,259.56,251.58,252.32,252.32,26653387,0.0000,1.0
2023-03-08,254.04,254.5417,250.81,253.7,253.7,17340217,0.0000,1.0
2023-03-07,256.3,257.69,253.39,254.15,254.15,21473179,0.0000,1.0
2023-03-06,256.425,260.12,255.98,256.87,256.87,24109849,0.0000,1.0
2023-03-03,252.19,255.62,251.39,255.29,255.29,30760136,0.0000,1.0
2023-03-02,246.55,251.4,245.61,251.11,251.11,24833646,0.0000,1.0
2023-03-01,250.76,250.93,245.79,246.27,246.27,27565259,0.0000,1.0
2023-02-28,249.07,251.49,248.73,249.42,249.42,22490950,0.0000,1.0
2023-02-27,252.46,252.82,249.39,250.16,250.16,21190042,0.0000,1.0
2023-02-24,249.96,251.0,248.1,249.22,249.22,24990905,0.0000,1.0
2023-02-23,255.56,256.84,250.48,254.77,254.77,29219095,0.0000,1.0
2023-02-22,254.09,254.34,250.34,251.51,251.51,22491056,0.0000,1.0
2023-02-21,254.48,255.49,251.59,252.67,252.67,28397444,0.0000,1.0
2023-02-17,259.39,260.09,256.0,258.06,258.06,30000055,0.0000,1.0
2023-02-16,264.02,266.74,261.9,262.15,262.15,29603616,0.0000,1.0
2023-02-15,268.32,270.73,266.18,269.32,269.32,28962163,0.6800,1.0
2023-02-14,272.67,274.97,269.28,272.17,271.484534814815,37047924,0.0000,1.0
2023-02-13,267.64,274.6,267.15,271.32,270.636675555556,44630921,0.0000,1.0
2023-02-10,261.53,264.09,260.662,263.1,262.437377777778,25818489,0.0000,1.0
2023-02-09,273.8,273.98,262.8,263.62,262.956068148148,42375102,0.0000,1.0
2023-02-08,273.2,276.76,266.21,266.73,266.058235555556,54686049,0.0000,1.0
2023-02-07,260.53,268.775,260.08,267.56,266.886145185185,50841365,0.0000,1.0
2023-02-06,257.44,258.3,254.78,256.77,256.12332,22517997,0.0000,1.0
2023-02-03,259.542,264.2,257.1,258.35,257.699340740741,29077256,0.0000,1.0
2023-02-02,258.82,264.69,257.25,264.6,263.9336,39940437,0.0000,1.0
2023-02-01,248.0,255.18,245.47,252.75,252.113444444444,31259912,0.0000,1.0
2023-01-31,243.45,247.95,242.945,247.81,247.185885925926,26541072,0.0000,1.0
2023-01-30,244.51,245.6,242.2,242.71,242.09873037037,25867365,0.0000,1.0
2023-01-27,248.99,249.83,246.83,248.16,247.535004444444,26498939,0.0000,1.0
2023-01-26,243.65,248.31,242.0,248.0,247.375407407407,33454491,0.0000,1.0
2023-01-25,234.48,243.3,230.9,240.61,240.004019259259,66526641,0.0000,1.0
2023-01-24,242.5,243.95,240.44,242.04,241.430417777778,40234444,0.0000,1.0
2023-01-23,241.1,245.165,239.65,242.58,241.969057777778,31933951,0.0000,1.0
2023-01-20,234.855,240.74,234.51,240.22,239.615001481481,35389809,0.0000,1.0
2023-01-19,233.78,235.52,230.68,231.93,231.34588,28623033,0.0000,1.0
