,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2023-03-10,42.56,43.52,42.03,42.16,42.16,7774271,0.0000,1.0
2023-03-09,42.5,42.75,41.68,41.74,41.74,5196877,0.0000,1.0
2023-03-08,42.44,42.83,41.91,42.16,42.16,6672673,0.4000,1.0
2023-03-07,43.95,43.95,42.485,42.5,42.1005639097744,9080648,0.0000,1.0
2023-03-06,44.49,44.94,44.02,44.22,43.8043984962406,5775361,0.0000,1.0
2023-03-03,44.49,44.74,44.03,44.7,44.2798872180451,5671004,0.0000,1.0
2023-03-02,43.78,44.04,43.5,43.94,43.527030075188,5551536,0.0000,1.0
2023-03-01,44.25,44.6,43.92,44.1,43.6855263157895,6486800,0.0000,1.0
2023-02-28,43.26,44.125,43.01,43.61,43.2001315789474,9074760,0.0000,1.0
2023-02-27,43.71,43.93,43.08,43.34,42.9326691729323,8277835,0.0000,1.0
2023-02-24,43.7,43.97,43.19,43.54,43.1307894736842,7342348,0.0000,1.0
2023-02-23,44.11,44.7,43.37,44.26,43.844022556391,7718126,0.0000,1.0
2023-02-22,45.0,45.03,44.05,44.23,43.8143045112782,9596647,0.0000,1.0
2023-02-21,45.19,45.45,44.73,45.17,44.745469924812,6856866,0.0000,1.0
2023-02-17,45.32,45.56,44.67,45.42,44.9931203007519,8575160,0.0000,1.0
2023-02-16,45.65,46.33,45.11,45.85,45.4190789473684,7494693,0.0000,1.0
2023-02-15,46.23,46.7,45.95,46.3,45.8648496240601,8632105,0.0000,1.0
2023-02-14,47.94,47.94,46.32,47.01,46.5681766917293,8593161,0.0000,1.0
2023-02-13,48.2,48.66,47.36,48.3,47.8460526315789,5201932,0.0000,1.0
2023-02-10,47.67,48.04,47.29,47.98,47.5290601503759,4672266,0.0000,1.0
2023-02-09,48.99,49.6,47.275,47.58,47.1328195488722,6220466,0.0000,1.0
2023-02-08,48.86,49.1394,48.225,48.35,47.8955827067669,5396928,0.0000,1.0
2023-02-07,47.72,49.32,47.5408,48.72,48.2621052631579,8022660,0.0000,1.0
2023-02-06,46.98,48.04,46.97,47.6,47.1526315789474,15273621,0.0000,1.0
2023-02-03,51.0,51.3017,49.565,49.85,49.381484962406,9743874,0.0000,1.0
2023-02-02,54.18,54.48,51.86,52.43,51.9372368421053,7244626,0.0000,1.0
2023-02-01,52.75,54.77,52.55,54.19,53.6806954887218,6598212,0.0000,1.0
2023-01-31,52.48,52.93,52.19,52.93,52.432537593985,7919694,0.0000,1.0
2023-01-30,53.17,53.6,52.66,52.74,52.2443233082707,4590692,0.0000,1.0
2023-01-27,54.06,54.06,53.22,53.32,52.8188721804511,5690170,0.0000,1.0
2023-01-26,54.88,54.88,53.57,54.13,53.6212593984962,5633629,0.0000,1.0
2023-01-25,53.05,55.41,52.95,55.09,54.5722368421053,6053748,0.0000,1.0
2023-01-24,51.12,55.1,51.12,53.39,52.8882142857143,4508800,0.0000,1.0
2023-01-23,52.78,53.74,52.4,53.63,53.1259586466165,4695354,0.0000,1.0
2023-01-20,52.06,53.46,51.93,53.34,52.8386842105263,4858415,0.0000,1.0
2023-01-19,51.37,52.865,50.88,52.47,51.9768609022556,6939991,0.0000,1.0
2023-01-18,53.02,53.25,51.44,51.53,51.0456954887218,8275857,0.0000,1.0
2023-01-17,53.72,53.8774,52.23,52.47,51.9768609022556,7040842,0.0000,1.0
2023-01-13,53.36,54.49,53.25,54.35,53.8391917293233,6547279,0.0000,1.0
2023-01-12,53.57,53.59,52.61,53.4,52.8981203007519,6115626,0.0000,1.0
2023-01-11,53.35,53.65,52.06,52.46,51.966954887218,6124738,0.0000,1.0
2023-01-10,52.49,53.23,52.22,53.15,52.650469924812,4132322,0.0000,1.0
2023-01-09,52.79,53.09,52.036,52.22,51.7292105263158,7561780,0.0000,1.0
2023-01-06,52.31,53.29,51.42,52.69,52.1947932330827,7424931,0.0000,1.0
2023-01-05,50.55,51.26,50.02,51.21,50.7287030075188,7037015,0.0000,1.0
2023-01-04,50.6,51.855,50.32,51.51,51.0258834586466,11532043,0.0000,1.0
2023-01-03,48.27,49.73,48.11,49.58,49.114022556391,8431449,0.0000,1.0
2022-12-30,47.59,47.6,46.65,47.2,46.7563909774436,3921863,0.0000,1.0
2022-12-29,47.59,47.85,47.2428,47.36,46.9148872180451,3899732,0.0000,1.0
2022-12-28,48.38,48.43,47.03,47.37,46.9247932330827,5282850,0.0000,1.0
2022-12-27,48.06,49.12,47.975,48.75,48.2918233082707,5575266,0.0000,1.0
2022-12-23,47.63,48.38,47.02,47.85,47.4002819548872,4599983,0.0000,1.0
2022-12-22,46.93,47.51,46.45,47.5,47.0535714285714,4673563,0.0000,1.0
2022-12-21,47.9,48.435,47.05,47.32,46.8752631578947,6265031,0.0000,1.0
2022-12-20,46.4,48.03,46.33,47.62,47.1724436090226,6202465,0.0000,1.0
2022-12-19,46.05,46.46,45.33,45.6,45.1714285714286,6277719,0.0000,1.0
