,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2023-03-10,36.64,36.92,36.414,36.68,36.68,23940703,0.0000,1.0
2023-03-09,37.6,37.645,36.52,36.55,36.55,26506922,0.0000,1.0
2023-03-08,37.8,37.81,37.35,37.53,37.53,20295626,0.0000,1.0
2023-03-07,38.1,38.15,37.43,37.91,37.91,23713458,0.0000,1.0
2023-03-06,38.37,38.63,38.05,38.15,38.15,22925647,0.0000,1.0
2023-03-03,38.44,38.51,38.06,38.26,38.26,23407510,0.0000,1.0
2023-03-02,38.1,38.46,37.94,38.41,38.41,18821077,0.0000,1.0
2023-03-01,38.71,38.71,38.15,38.3,38.3,18411712,0.0000,1.0
2023-02-28,38.7,38.97,38.55,38.81,38.81,16685262,0.0000,1.0
2023-02-27,38.99,39.145,38.63,38.88,38.88,14210850,0.0000,1.0
2023-02-24,38.23,38.76,38.09,38.74,38.74,16431537,0.0000,1.0
2023-02-23,39.12,39.32,38.52,38.53,38.53,16738177,0.0000,1.0
2023-02-22,39.38,39.59,39.025,39.28,39.28,15086755,0.0000,1.0
2023-02-21,39.9,39.98,39.16,39.2,39.2,17805490,0.0000,1.0
2023-02-17,39.84,40.39,39.66,40.22,40.22,15029174,0.0000,1.0
2023-02-16,40.06,40.21,39.7,39.84,39.84,16625882,0.0000,1.0
2023-02-15,40.23,40.4,40.095,40.38,40.38,11270429,0.0000,1.0
2023-02-14,40.46,40.58,39.91,40.33,40.33,12292355,0.0000,1.0
2023-02-13,40.01,40.47,39.88,40.32,40.32,14486021,0.0000,1.0
2023-02-10,40.0,40.065,39.715,40.01,40.01,15398542,0.0000,1.0
2023-02-09,40.62,40.66,39.75,39.81,39.81,17485658,0.0000,1.0
2023-02-08,40.53,40.7,40.1234,40.52,40.52,14080247,0.0000,1.0
2023-02-07,40.99,41.21,40.12,40.55,40.55,21668545,0.0000,1.0
2023-02-06,41.51,41.59,40.895,41.28,41.28,15530722,0.0000,1.0
2023-02-03,41.78,41.97,41.14,41.51,41.51,18314419,0.0000,1.0
2023-02-02,41.74,41.93,41.2,41.83,41.83,18443768,0.0000,1.0
2023-02-01,41.99,42.0,41.125,41.69,41.69,19542040,0.0000,1.0
2023-01-31,41.08,41.58,41.01,41.57,41.57,18665168,0.0000,1.0
2023-01-30,40.84,41.26,40.7,41.05,41.05,22272551,0.0000,1.0
2023-01-27,40.22,40.68,39.77,40.64,40.64,17254035,0.0000,1.0
2023-01-26,40.38,40.57,39.93,40.27,40.27,19568136,0.0000,1.0
2023-01-25,40.54,41.09,39.91,40.33,40.33,26526961,0.0000,1.0
2023-01-24,38.69,40.73,38.41,40.42,40.42,32143900,0.0000,1.0
2023-01-23,39.99,40.34,39.42,39.63,39.63,34249323,0.0000,1.0
2023-01-20,40.04,40.12,39.46,40.0,40.0,23377874,0.0000,1.0
2023-01-19,39.71,40.275,39.4715,40.06,40.06,24812611,0.0000,1.0
2023-01-18,40.86,40.86,39.8241,39.97,39.97,22976472,0.0000,1.0
2023-01-17,41.85,41.92,40.79,40.85,40.85,28696962,0.0000,1.0
2023-01-13,41.65,41.915,41.37,41.86,41.86,17229808,0.0000,1.0
2023-01-12,41.38,41.95,41.123,41.81,41.81,16980290,0.0000,1.0
2023-01-11,42.14,42.18,41.02,41.18,41.18,20674841,0.0000,1.0
2023-01-10,41.36,41.975,41.17,41.95,41.95,16695308,0.0000,1.0
2023-01-09,41.38,41.67,41.3123,41.37,41.37,23062219,0.6525,1.0
2023-01-06,41.92,42.578,41.88,42.19,41.5348991611637,26010388,0.0000,1.0
2023-01-05,41.2,41.945,40.82,41.7,41.0525075852222,29987161,0.0000,1.0
2023-01-04,40.54,41.42,40.26,41.13,40.4913582009638,28779472,0.0000,1.0
2023-01-03,39.77,40.23,39.38,40.12,39.497040870962,31330684,0.0000,1.0
2022-12-30,39.31,39.69,39.07,39.4,38.7882205961092,44007197,0.0000,1.0
2022-12-29,38.9,39.535,38.81,39.26,38.6503944315545,17347000,0.0000,1.0
2022-12-28,39.19,39.66,38.585,38.81,38.2073817597716,21793177,0.0000,1.0
2022-12-27,38.49,39.4,38.32,39.25,38.6405497055149,25315928,0.0000,1.0
2022-12-23,38.31,38.5399,37.925,38.41,37.8135927181867,16918339,0.0000,1.0
2022-12-22,37.68,38.32,37.37,38.31,37.7151454577905,26870189,0.0000,1.0
2022-12-21,37.27,37.85,37.24,37.78,37.1933749776905,24504279,0.0000,1.0
2022-12-20,36.99,37.21,36.62,36.99,36.4156416205604,24147313,0.0000,1.0
2022-12-19,37.33,37.47,36.575,37.03,36.4550205247189,26127160,0.0000,1.0
2022-12-16,37.51,37.57,36.67,37.12,36.5436230590755,62763820,0.0000,1.0
2022-12-15,37.75,38.339,37.66,37.77,37.1835302516509,33012533,0.0000,1.0
2022-12-14,37.87,38.09,37.24,37.45,36.868499018383,23329799,0.0000,1.0
2022-12-13,38.39,38.62,37.84,37.86,37.2721327860075,30176841,0.0000,1.0
2022-12-12,37.69,37.96,37.28,37.95,37.3607353203641,19629617,0.0000,1.0
2022-12-09,37.21,37.63,36.9601,37.4,36.8192753881849,20671248,0.0000,1.0
2022-12-08,37.11,37.24,36.8731,37.1,36.5239336069963,19549082,0.0000,1.0
2022-12-07,36.74,37.305,36.665,37.17,36.5928466892736,23065918,0.0000,1.0
2022-12-06,36.99,37.07,36.625,36.89,36.3171943601642,26293703,0.0000,1.0
2022-12-05,37.98,38.11,36.9,37.07,36.4943994288774,27561037,0.0000,1.0
2022-12-02,37.93,38.3,37.7,38.18,37.5871640192754,21677142,0.0000,1.0
2022-12-01,39.18,39.23,37.81,38.33,37.7348349098697,26276613,0.0000,1.0
2022-11-30,38.21,39.14,38.15,38.98,38.3747421024451,31358756,0.0000,1.0
2022-11-29,38.02,38.37,37.945,38.34,37.7446796359093,14008826,0.0000,1.0
2022-11-28,39.01,39.09,38.13,38.24,37.6462323755131,21563586,0.0000,1.0
2022-11-25,39.1,39.3585,38.97,39.02,38.4141210066036,7725741,0.0000,1.0
2022-11-23,39.03,39.2,38.61,38.92,38.3156737462074,14170012,0.0000,1.0
2022-11-22,38.84,39.32,38.84,39.2,38.5913260753168,19809517,0.0000,1.0
2022-11-21,38.6,39.13,38.52,38.62,38.0203319650187,19184223,0.0000,1.0
2022-11-18,38.29,38.77,38.29,38.55,37.9514188827414,17821689,0.0000,1.0
2022-11-17,37.55,38.18,37.29,38.16,37.5674745671961,18788613,0.0000,1.0
2022-11-16,37.66,38.07,37.63,37.88,37.2918222380867,18962154,0.0000,1.0
2022-11-15,38.49,38.83,37.46,37.7,37.1146171693736,25074062,0.0000,1.0
2022-11-14,38.45,38.99,38.3,38.31,37.7151454577905,22703201,0.0000,1.0
2022-11-11,38.55,38.69,37.81,38.3,37.7053007317508,22980965,0.0000,1.0
2022-11-10,38.3,38.55,37.815,38.52,37.9218847046225,23049015,0.0000,1.0
2022-11-09,37.92,38.13,37.59,37.62,37.0358593610566,17574620,0.0000,1.0
2022-11-08,37.2,37.99,37.16,37.87,37.2819775120471,17392700,0.0000,1.0
2022-11-07,37.32,37.445,36.98,37.19,36.6125361413528,19697586,0.0000,1.0
2022-11-04,37.35,37.37,36.8,37.24,36.661759771551,17599447,0.0000,1.0
