time,open,high,low,close,volume
2023-03-10 20:00:00,83.11,83.28,83.08,83.28,7673
2023-03-10 19:00:00,83.25,83.3,83.05,83.15,7846
2023-03-10 18:00:00,83.0,83.42,82.96,83.42,13798
2023-03-10 17:00:00,82.93,83.0399,82.8584,83.0399,28511
2023-03-10 16:00:00,83.2416,83.3,82.69,82.93,2684605
2023-03-10 15:00:00,82.8242,83.37,82.81,83.24,1565095
2023-03-10 14:00:00,83.01,83.11,82.59,82.83,1544689
2023-03-10 13:00:00,83.29,83.55,82.93,83.0,1605866
2023-03-10 12:00:00,84.05,84.16,83.19,83.28,2472513
2023-03-10 11:00:00,83.76,84.52,83.435,84.065,3849832
2023-03-10 10:00:00,83.15,83.95,82.33,83.76,3656944
2023-03-10 09:00:00,83.25,83.74,82.83,83.15,258481
2023-03-10 08:00:00,83.25,83.25,83.02,83.12,13719
2023-03-10 07:00:00,83.25,83.35,83.25,83.31,3596
2023-03-10 06:00:00,82.94,83.35,82.94,83.28,14623
2023-03-10 05:00:00,82.93,82.99,82.65,82.92,29349
2023-03-09 20:00:00,83.09,83.11,82.8,82.9,41599
2023-03-09 19:00:00,83.25,83.25,82.8,83.01,40779
2023-03-09 18:00:00,83.22,83.37,83.05,83.12,103634
2023-03-09 17:00:00,83.11,83.39,83.11,83.26,55266
2023-03-09 16:00:00,83.29,83.48,82.875,83.365,4010586
2023-03-09 15:00:00,83.465,83.57,83.26,83.29,1703247
2023-03-09 14:00:00,83.71,83.83,83.32,83.46,1825877
2023-03-09 13:00:00,83.7,84.08,83.54,83.7165,2162847
2023-03-09 12:00:00,84.677,84.71,83.616,83.6835,4332994
2023-03-09 11:00:00,85.1,85.69,84.65,84.68,3569277
2023-03-09 10:00:00,85.35,85.48,84.49,85.085,4956617
2023-03-09 09:00:00,85.63,87.31,84.93,85.32,296586
2023-03-09 08:00:00,85.91,86.08,84.82,85.13,307714
2023-03-09 07:00:00,85.95,86.24,85.85,85.87,18375
2023-03-09 06:00:00,85.82,86.3,85.81,85.9,19356
2023-03-09 05:00:00,86.3,86.73,85.69,85.82,52084
2023-03-08 20:00:00,87.11,87.1599,86.91,86.98,19446
2023-03-08 19:00:00,87.09,87.1999,87.08,87.14,5370
2023-03-08 18:00:00,87.1295,87.28,87.08,87.1965,26714
2023-03-08 17:00:00,86.95,87.18,86.93,87.13,51565
2023-03-08 16:00:00,86.9999,87.27,86.88,86.91,2721573
2023-03-08 15:00:00,86.9,87.0405,86.855,86.99,1130047
2023-03-08 14:00:00,86.94,86.96,86.72,86.895,825312
2023-03-08 13:00:00,86.95,87.1,86.85,86.935,965764
2023-03-08 12:00:00,87.22,87.3556,86.7,86.94,2032023
2023-03-08 11:00:00,86.93,87.37,86.67,87.22,3141423
2023-03-08 10:00:00,87.59,87.77,86.45,86.9101,3251001
2023-03-08 09:00:00,87.4,87.86,87.4,87.6,97579
2023-03-08 08:00:00,87.59,87.64,87.4,87.45,35628
2023-03-08 07:00:00,87.63,87.64,87.53,87.53,7789
2023-03-08 06:00:00,87.53,87.67,87.46,87.67,6662
2023-03-08 05:00:00,87.52,87.78,87.3,87.56,32168
2023-03-07 20:00:00,88.84,88.89,88.75,88.83,19051
2023-03-07 19:00:00,88.84,88.88,88.8,88.8,6941
2023-03-07 18:00:00,88.84,88.88,88.79,88.84,7028
2023-03-07 17:00:00,88.87,88.89,88.66,88.8,641119
2023-03-07 16:00:00,88.38,88.9199,88.375,88.72,2325396
2023-03-07 15:00:00,88.755,88.9,88.2,88.38,1565009
2023-03-07 14:00:00,89.405,89.435,88.72,88.755,1118891
2023-03-07 13:00:00,89.15,89.76,89.14,89.41,806609
2023-03-07 12:00:00,89.43,90.05,89.12,89.1517,1962068
2023-03-07 11:00:00,89.33,89.7999,88.62,89.42,2952452
2023-03-07 10:00:00,89.85,90.03,88.72,89.305,2610521
2023-03-07 09:00:00,90.05,90.78,89.7,89.85,122119
2023-03-07 08:00:00,90.05,90.08,89.92,90.0,38214
2023-03-07 07:00:00,90.05,90.34,90.02,90.03,20466
2023-03-07 06:00:00,90.01,90.12,90.01,90.09,7355
2023-03-07 05:00:00,90.02,90.15,89.9,90.0,21699
2023-03-06 20:00:00,89.7,89.75,89.65,89.65,21532
2023-03-06 19:00:00,89.7,89.75,89.67,89.71,8610
2023-03-06 18:00:00,89.6,89.75,89.54,89.68,9346
2023-03-06 17:00:00,89.62,89.6934,88.5367,89.6455,656076
2023-03-06 16:00:00,89.715,89.885,89.45,89.58,2133723
2023-03-06 15:00:00,89.92,89.98,89.6837,89.71,1296199
2023-03-06 14:00:00,90.53,90.61,89.89,89.93,1111943
2023-03-06 13:00:00,90.7096,90.86,90.4415,90.54,909355
2023-03-06 12:00:00,90.5962,90.97,90.4633,90.71,2022394
2023-03-06 11:00:00,89.77,91.3001,89.66,90.59,4564808
2023-03-06 10:00:00,89.4,89.84,88.03,89.7679,3286828
2023-03-06 09:00:00,88.9752,89.7,88.54,89.4,323220
2023-03-06 08:00:00,88.99,89.24,88.91,89.15,38895
2023-03-06 07:00:00,89.15,89.16,88.85,88.85,20768
2023-03-06 06:00:00,88.9,89.06,88.85,89.06,5934
2023-03-06 05:00:00,89.05,89.39,88.76,88.94,45769
2023-03-03 20:00:00,90.09,90.48,90.04,90.48,51471
2023-03-03 19:00:00,90.0,90.09,89.98,90.06,20114
2023-03-03 18:00:00,89.81,90.09,89.81,90.0,42006
2023-03-03 17:00:00,89.75,89.879,89.1892,89.879,1559427
2023-03-03 16:00:00,89.595,89.785,89.38,89.72,4213942
2023-03-03 15:00:00,89.49,89.6387,89.38,89.595,2249862
2023-03-03 14:00:00,88.7343,89.55,88.65,89.485,2094150
2023-03-03 13:00:00,89.055,89.13,88.635,88.73,2196481
2023-03-03 12:00:00,88.92,89.25,88.75,89.0522,1963891
2023-03-03 11:00:00,89.26,89.34,88.4,88.9211,4848488
2023-03-03 10:00:00,90.09,90.46,89.0281,89.27,3288723
2023-03-03 09:00:00,89.8008,90.12,89.7,90.12,1161999
2023-03-03 08:00:00,89.95,89.96,89.7,89.86,40538
2023-03-03 07:00:00,89.99,90.07,89.93,89.93,7345
2023-03-03 06:00:00,89.93,90.12,89.91,89.99,11427
2023-03-03 05:00:00,89.48,89.9,89.47,89.9,17691
2023-03-02 20:00:00,90.1,90.2,90.0,90.14,39839
2023-03-02 19:00:00,89.9,90.16,89.2899,90.12,821311
2023-03-02 18:00:00,89.96,89.96,89.81,89.94,15059
2023-03-02 17:00:00,89.8,89.97,89.2899,89.75,1026739
2023-03-02 16:00:00,89.59,90.11,89.58,89.77,3967788
2023-03-02 15:00:00,89.26,89.62,89.21,89.5986,2115862
2023-03-02 14:00:00,89.095,89.29,88.69,89.25,1919623
2023-03-02 13:00:00,88.78,89.19,88.72,89.085,1594333
2023-03-02 12:00:00,88.85,88.97,88.48,88.77,2558131
2023-03-02 11:00:00,89.77,90.919,88.61,88.85,5354441
2023-03-02 10:00:00,88.92,90.06,87.97,89.75,4150259
2023-03-02 09:00:00,89.1892,89.78,88.8,88.86,139444
2023-03-02 08:00:00,89.2,89.35,89.01,89.05,54134
2023-03-02 07:00:00,89.18,89.26,89.11,89.26,14974
2023-03-02 06:00:00,89.13,89.15,88.92,89.1,18347
2023-03-02 05:00:00,89.25,90.18,89.02,89.14,45535
2023-03-01 20:00:00,90.22,90.38,90.1,90.35,42043
2023-03-01 19:00:00,89.97,90.22,89.95,90.22,43823
2023-03-01 18:00:00,89.86,89.99,89.8,89.91,18034
2023-03-01 17:00:00,89.98,90.54,89.0,89.86,3273938
2023-03-01 16:00:00,90.075,90.3,89.85,89.97,5244536
2023-03-01 15:00:00,89.825,90.23,89.7704,90.07,1930512
2023-03-01 14:00:00,89.895,90.015,89.73,89.825,2301747
2023-03-01 13:00:00,90.345,90.44,89.86,89.89,2433009
2023-03-01 12:00:00,90.49,90.53,89.95,90.34,4040551
2023-03-01 11:00:00,91.18,91.39,90.3522,90.4959,6361727
2023-03-01 10:00:00,92.8,93.0,91.07,91.15,8090484
2023-03-01 09:00:00,92.75,93.95,92.15,92.8399,402915
2023-03-01 08:00:00,92.86,92.9,92.52,92.62,244848
2023-03-01 07:00:00,93.01,93.06,92.81,92.87,52161
2023-03-01 06:00:00,93.05,93.05,92.92,93.01,46810
2023-03-01 05:00:00,92.8,93.32,91.88,93.04,281850
2023-02-28 20:00:00,87.87,87.88,87.63,87.73,16900
2023-02-28 19:00:00,87.88,87.91,87.75,87.76,9635
2023-02-28 18:00:00,87.8997,88.0,87.79,87.86,42806
2023-02-28 17:00:00,88.0,88.1762,87.78,87.88,2646916
2023-02-28 16:00:00,87.92,88.18,87.66,87.78,3833050
2023-02-28 15:00:00,87.96,88.08,87.8,87.915,1571830
2023-02-28 14:00:00,87.89,87.965,87.54,87.96,1419516
2023-02-28 13:00:00,87.88,88.1599,87.57,87.8955,2309905
2023-02-28 12:00:00,88.285,88.38,87.85,87.88,2850426
2023-02-28 11:00:00,89.0,89.34,88.05,88.28,4423164
2023-02-28 10:00:00,88.35,89.21,87.27,88.9842,4084311
2023-02-28 09:00:00,88.5042,89.27,88.1,88.38,113603
2023-02-28 08:00:00,88.28,88.6,88.27,88.42,48476
2023-02-28 07:00:00,88.135,88.31,88.135,88.28,72753
2023-02-28 06:00:00,88.18,88.2,88.05,88.17,40260
